date,location,fully_vaccinated,fully_vaccinated_per_hundred
2021-01-12,Alabama,7270,0.15
2021-01-13,Alabama,9245,0.19
2021-01-14,Alabama,,
2021-01-15,Alabama,13488,0.28
2021-01-16,Alabama,,
2021-01-17,Alabama,,
2021-01-18,Alabama,,
2021-01-19,Alabama,16346,0.33
2021-01-20,Alabama,17956,0.37
2021-01-21,Alabama,21345,0.44
2021-01-22,Alabama,24840,0.51
2021-01-23,Alabama,27422,0.56
2021-01-24,Alabama,29736,0.61
2021-01-25,Alabama,29978,0.61
2021-01-26,Alabama,30933,0.63
2021-01-27,Alabama,33595,0.69
2021-01-28,Alabama,37431,0.76
2021-01-29,Alabama,44073,0.9
2021-01-30,Alabama,53742,1.1
2021-01-31,Alabama,55331,1.13
2021-02-01,Alabama,56308,1.15
2021-02-02,Alabama,58825,1.2
2021-02-03,Alabama,62990,1.28
2021-02-04,Alabama,69155,1.41
2021-02-05,Alabama,76603,1.56
2021-02-06,Alabama,84278,1.72
2021-02-07,Alabama,86141,1.76
2021-02-08,Alabama,88453,1.8
2021-02-09,Alabama,95033,1.94
2021-02-10,Alabama,102520,2.09
2021-02-11,Alabama,111036,2.26
2021-02-12,Alabama,122019,2.49
2021-02-13,Alabama,133029,2.71
2021-02-14,Alabama,137032,2.79
2021-02-15,Alabama,,
2021-02-16,Alabama,149288,3.04
2021-02-17,Alabama,154341,3.15
2021-02-18,Alabama,165104,3.37
2021-02-19,Alabama,192304,3.92
2021-02-20,Alabama,214512,4.37
2021-02-21,Alabama,219639,4.48
2021-02-22,Alabama,228101,4.65
2021-02-23,Alabama,239425,4.88
2021-02-24,Alabama,253615,5.17
2021-02-25,Alabama,268465,5.48
2021-02-26,Alabama,286095,5.83
2021-02-27,Alabama,307868,6.28
2021-02-28,Alabama,313290,6.39
2021-03-01,Alabama,316073,6.45
2021-03-02,Alabama,330046,6.73
2021-03-03,Alabama,346841,7.07
2021-03-04,Alabama,365456,7.45
2021-03-05,Alabama,383078,7.81
2021-03-06,Alabama,402061,8.2
2021-03-07,Alabama,406723,8.3
2021-03-08,Alabama,409937,8.36
2021-03-09,Alabama,420083,8.57
2021-03-10,Alabama,435018,8.87
2021-03-11,Alabama,452746,9.23
2021-03-12,Alabama,472325,9.63
2021-03-13,Alabama,492755,10.05
2021-03-14,Alabama,497653,10.15
2021-03-15,Alabama,501344,10.22
2021-03-16,Alabama,511869,10.44
2021-03-17,Alabama,523649,10.68
2021-03-18,Alabama,533375,10.88
2021-03-19,Alabama,547257,11.16
2021-03-20,Alabama,561254,11.45
2021-03-21,Alabama,566632,11.56
2021-03-22,Alabama,569127,11.61
2021-03-23,Alabama,579598,11.82
2021-03-24,Alabama,589979,12.03
2021-03-25,Alabama,600666,12.25
2021-03-26,Alabama,611694,12.48
2021-03-27,Alabama,623385,12.71
2021-03-28,Alabama,628500,12.82
2021-03-29,Alabama,631388,12.88
2021-03-30,Alabama,643450,13.12
2021-03-31,Alabama,656899,13.4
2021-04-01,Alabama,673773,13.74
2021-04-02,Alabama,691082,14.09
2021-04-03,Alabama,705197,14.38
2021-04-04,Alabama,709849,14.48
2021-04-05,Alabama,711596,14.51
2021-04-06,Alabama,725270,14.79
2021-04-07,Alabama,744961,15.19
2021-04-08,Alabama,764450,15.59
2021-04-09,Alabama,788325,16.08
2021-04-10,Alabama,811323,16.55
2021-04-11,Alabama,819550,16.71
2021-04-12,Alabama,824052,16.81
2021-04-13,Alabama,844353,17.22
2021-04-14,Alabama,868550,17.71
2021-04-15,Alabama,893002,18.21
2021-04-16,Alabama,915654,18.67
2021-04-17,Alabama,935377,19.08
2021-04-18,Alabama,943129,19.24
2021-04-19,Alabama,946333,19.3
2021-04-20,Alabama,966251,19.71
2021-04-21,Alabama,987379,20.14
2021-04-22,Alabama,1010415,20.61
2021-04-23,Alabama,1033996,21.09
2021-04-24,Alabama,1054863,21.51
2021-04-25,Alabama,1062524,21.67
2021-04-26,Alabama,1066659,21.75
2021-04-27,Alabama,1079815,22.02
2021-04-28,Alabama,1098820,22.41
2021-04-29,Alabama,1121348,22.87
2021-04-30,Alabama,1143488,23.32
2021-05-01,Alabama,1161725,23.69
2021-05-02,Alabama,1165479,23.77
2021-05-03,Alabama,1168235,23.83
2021-05-04,Alabama,1179793,24.06
2021-05-05,Alabama,1199064,24.45
2021-05-06,Alabama,1201303,24.5
2021-05-07,Alabama,1240335,25.3
2021-05-08,Alabama,1263965,25.78
2021-05-09,Alabama,1270858,25.92
2021-05-10,Alabama,1273670,25.98
2021-05-11,Alabama,1273999,25.98
2021-05-12,Alabama,1286565,26.24
2021-05-13,Alabama,1314534,26.81
2021-05-14,Alabama,1334176,27.21
2021-05-15,Alabama,1348023,27.49
2021-05-16,Alabama,1350643,27.55
2021-05-17,Alabama,1350830,27.55
2021-05-18,Alabama,1362380,27.79
2021-05-19,Alabama,1362834,27.79
2021-05-20,Alabama,1382327,28.19
2021-05-21,Alabama,1387356,28.29
2021-05-22,Alabama,1396990,28.49
2021-05-23,Alabama,1407769,28.71
2021-05-24,Alabama,1407917,28.71
2021-05-25,Alabama,1415771,28.87
2021-05-26,Alabama,1419599,28.95
2021-05-27,Alabama,1423605,29.03
2021-05-28,Alabama,1429238,29.15
2021-05-29,Alabama,1431669,29.2
2021-05-30,Alabama,1432446,29.21
2021-05-31,Alabama,,
2021-06-01,Alabama,1433267,29.23
2021-06-02,Alabama,1435324,29.27
2021-06-03,Alabama,1435719,29.28
2021-06-04,Alabama,1440101,29.37
2021-06-05,Alabama,1440289,29.37
2021-06-06,Alabama,1441834,29.41
2021-06-07,Alabama,1442775,29.43
2021-06-08,Alabama,1443230,29.43
2021-06-09,Alabama,1445608,29.48
2021-06-10,Alabama,1460230,29.78
2021-06-11,Alabama,1468898,29.96
2021-06-12,Alabama,1485108,30.29
2021-06-13,Alabama,1490848,30.41
2021-06-14,Alabama,1499941,30.59
2021-06-15,Alabama,1501171,30.62
2021-06-16,Alabama,1508504,30.77
2021-06-17,Alabama,1546119,31.53
2021-06-18,Alabama,1546983,31.55
2021-06-19,Alabama,1558881,31.79
2021-06-20,Alabama,1562192,31.86
2021-06-21,Alabama,1563573,31.89
2021-06-22,Alabama,1566908,31.96
2021-06-23,Alabama,1570452,32.03
2021-06-24,Alabama,1574676,32.12
2021-06-25,Alabama,1574934,32.12
2021-06-26,Alabama,1578780,32.2
2021-06-27,Alabama,1584456,32.31
2021-06-28,Alabama,1590001,32.43
2021-06-29,Alabama,1594040,32.51
2021-06-30,Alabama,1594625,32.52
2021-07-01,Alabama,1601802,32.67
2021-07-02,Alabama,1602022,32.67
2021-07-03,Alabama,1612803,32.89
2021-07-04,Alabama,1612913,32.9
2021-07-05,Alabama,,
2021-07-06,Alabama,1617584,32.99
2021-07-07,Alabama,1619647,33.03
2021-07-08,Alabama,1623114,33.1
2021-07-09,Alabama,1626323,33.17
2021-07-10,Alabama,1629745,33.24
2021-07-11,Alabama,1633408,33.31
2021-07-12,Alabama,1633505,33.32
2021-07-13,Alabama,1638866,33.42
2021-07-14,Alabama,1639032,33.43
2021-07-15,Alabama,1645083,33.55
2021-07-16,Alabama,1647995,33.61
2021-07-17,Alabama,1648172,33.61
2021-07-18,Alabama,1651404,33.68
2021-07-19,Alabama,1653604,33.73
2021-07-20,Alabama,1654644,33.75
2021-07-21,Alabama,1659775,33.85
2021-07-22,Alabama,1662812,33.91
2021-07-23,Alabama,1663031,33.92
2021-07-24,Alabama,1665751,33.97
2021-07-25,Alabama,1668818,34.04
2021-07-26,Alabama,1671098,34.08
2021-07-27,Alabama,1672423,34.11
2021-07-28,Alabama,1677048,34.2
2021-07-29,Alabama,1677279,34.21
2021-07-30,Alabama,1683367,34.33
2021-07-31,Alabama,1683584,34.34
2021-08-01,Alabama,1687404,34.41
2021-08-02,Alabama,1687444,34.42
2021-08-03,Alabama,1693504,34.54
2021-08-04,Alabama,1696031,34.59
2021-08-05,Alabama,1697144,34.61
2021-08-06,Alabama,1703519,34.74
2021-08-07,Alabama,1707895,34.83
2021-08-08,Alabama,1708026,34.84
2021-08-09,Alabama,1711014,34.9
2021-08-10,Alabama,1715676,34.99
2021-08-11,Alabama,1716368,35.01
2021-08-12,Alabama,1720455,35.09
2021-08-13,Alabama,1725039,35.18
2021-08-14,Alabama,1726776,35.22
2021-08-15,Alabama,1734722,35.38
2021-08-16,Alabama,1743610,35.56
2021-08-17,Alabama,1748529,35.66
2021-08-18,Alabama,1752243,35.74
2021-08-19,Alabama,1759489,35.88
2021-08-20,Alabama,1770725,36.11
2021-08-21,Alabama,1777585,36.25
2021-08-22,Alabama,1781590,36.34
2021-08-23,Alabama,1793712,36.58
2021-08-24,Alabama,1802279,36.76
2021-08-25,Alabama,1803904,36.79
2021-08-26,Alabama,1813256,36.98
2021-08-27,Alabama,1838347,37.49
2021-08-28,Alabama,1850031,37.73
2021-08-29,Alabama,1860445,37.94
2021-01-12,Alaska,5400,0.74
2021-01-13,Alaska,6166,0.84
2021-01-14,Alaska,,
2021-01-15,Alaska,9406,1.29
2021-01-16,Alaska,,
2021-01-17,Alaska,,
2021-01-18,Alaska,,
2021-01-19,Alaska,10802,1.48
2021-01-20,Alaska,11283,1.54
2021-01-21,Alaska,12352,1.69
2021-01-22,Alaska,13718,1.88
2021-01-23,Alaska,15206,2.08
2021-01-24,Alaska,16201,2.21
2021-01-25,Alaska,16673,2.28
2021-01-26,Alaska,16815,2.3
2021-01-27,Alaska,18097,2.47
2021-01-28,Alaska,20045,2.74
2021-01-29,Alaska,21593,2.95
2021-01-30,Alaska,23320,3.19
2021-01-31,Alaska,24545,3.36
2021-02-01,Alaska,25467,3.48
2021-02-02,Alaska,26207,3.58
2021-02-03,Alaska,27528,3.76
2021-02-04,Alaska,30172,4.12
2021-02-05,Alaska,32593,4.46
2021-02-06,Alaska,35773,4.89
2021-02-07,Alaska,39541,5.41
2021-02-08,Alaska,40812,5.58
2021-02-09,Alaska,41698,5.7
2021-02-10,Alaska,43552,5.95
2021-02-11,Alaska,46006,6.29
2021-02-12,Alaska,48969,6.69
2021-02-13,Alaska,52380,7.16
2021-02-14,Alaska,57117,7.81
2021-02-15,Alaska,,
2021-02-16,Alaska,60964,8.33
2021-02-17,Alaska,62474,8.54
2021-02-18,Alaska,65245,8.92
2021-02-19,Alaska,71892,9.83
2021-02-20,Alaska,78623,10.75
2021-02-21,Alaska,82272,11.25
2021-02-22,Alaska,84131,11.5
2021-02-23,Alaska,84746,11.58
2021-02-24,Alaska,86836,11.87
2021-02-25,Alaska,90214,12.33
2021-02-26,Alaska,92233,12.61
2021-02-27,Alaska,95331,13.03
2021-02-28,Alaska,97554,13.34
2021-03-01,Alaska,99916,13.66
2021-03-02,Alaska,100902,13.79
2021-03-03,Alaska,102382,14
2021-03-04,Alaska,104129,14.23
2021-03-05,Alaska,106558,14.57
2021-03-06,Alaska,110053,15.04
2021-03-07,Alaska,113787,15.55
2021-03-08,Alaska,115635,15.81
2021-03-09,Alaska,117345,16.04
2021-03-10,Alaska,119073,16.28
2021-03-11,Alaska,122197,16.7
2021-03-12,Alaska,124170,16.97
2021-03-13,Alaska,126647,17.31
2021-03-14,Alaska,130857,17.89
2021-03-15,Alaska,132532,18.12
2021-03-16,Alaska,133907,18.3
2021-03-17,Alaska,135810,18.56
2021-03-18,Alaska,138464,18.93
2021-03-19,Alaska,140169,19.16
2021-03-20,Alaska,143349,19.6
2021-03-21,Alaska,145975,19.95
2021-03-22,Alaska,146903,20.08
2021-03-23,Alaska,147214,20.12
2021-03-24,Alaska,148725,20.33
2021-03-25,Alaska,150980,20.64
2021-03-26,Alaska,153706,21.01
2021-03-27,Alaska,156698,21.42
2021-03-28,Alaska,160197,21.9
2021-03-29,Alaska,160932,22
2021-03-30,Alaska,161504,22.08
2021-03-31,Alaska,163100,22.3
2021-04-01,Alaska,165325,22.6
2021-04-02,Alaska,167561,22.91
2021-04-03,Alaska,170747,23.34
2021-04-04,Alaska,176825,24.17
2021-04-05,Alaska,178886,24.45
2021-04-06,Alaska,179359,24.52
2021-04-07,Alaska,181924,24.87
2021-04-08,Alaska,186597,25.51
2021-04-09,Alaska,189958,25.97
2021-04-10,Alaska,194814,26.63
2021-04-11,Alaska,198792,27.17
2021-04-12,Alaska,201795,27.58
2021-04-13,Alaska,222407,30.4
2021-04-14,Alaska,225131,30.77
2021-04-15,Alaska,225221,30.79
2021-04-16,Alaska,228333,31.21
2021-04-17,Alaska,231393,31.63
2021-04-18,Alaska,234553,32.06
2021-04-19,Alaska,235666,32.21
2021-04-20,Alaska,236706,32.36
2021-04-21,Alaska,239813,32.78
2021-04-22,Alaska,242474,33.15
2021-04-23,Alaska,244728,33.45
2021-04-24,Alaska,246821,33.74
2021-04-25,Alaska,248428,33.96
2021-04-26,Alaska,249036,34.04
2021-04-27,Alaska,249547,34.11
2021-04-28,Alaska,250694,34.27
2021-04-29,Alaska,255008,34.86
2021-04-30,Alaska,256564,35.07
2021-05-01,Alaska,262217,35.84
2021-05-02,Alaska,263330,36
2021-05-03,Alaska,263603,36.03
2021-05-04,Alaska,263754,36.05
2021-05-05,Alaska,264565,36.17
2021-05-06,Alaska,265869,36.34
2021-05-07,Alaska,266960,36.49
2021-05-08,Alaska,268319,36.68
2021-05-09,Alaska,268405,36.69
2021-05-10,Alaska,270922,37.03
2021-05-11,Alaska,271486,37.11
2021-05-12,Alaska,272256,37.22
2021-05-13,Alaska,273310,37.36
2021-05-14,Alaska,274293,37.5
2021-05-15,Alaska,275681,37.68
2021-05-16,Alaska,276902,37.85
2021-05-17,Alaska,277105,37.88
2021-05-18,Alaska,277461,37.93
2021-05-19,Alaska,278305,38.04
2021-05-20,Alaska,279464,38.2
2021-05-21,Alaska,280509,38.34
2021-05-22,Alaska,281611,38.5
2021-05-23,Alaska,282727,38.65
2021-05-24,Alaska,283050,38.69
2021-05-25,Alaska,283291,38.73
2021-05-26,Alaska,283908,38.81
2021-05-27,Alaska,284731,38.92
2021-05-28,Alaska,285759,39.06
2021-05-29,Alaska,286793,39.2
2021-05-30,Alaska,287531,39.3
2021-05-31,Alaska,,
2021-06-01,Alaska,288024,39.37
2021-06-02,Alaska,288123,39.39
2021-06-03,Alaska,289158,39.53
2021-06-04,Alaska,290096,39.66
2021-06-05,Alaska,291308,39.82
2021-06-06,Alaska,292994,40.05
2021-06-07,Alaska,294058,40.2
2021-06-08,Alaska,294324,40.23
2021-06-09,Alaska,294419,40.25
2021-06-10,Alaska,296184,40.49
2021-06-11,Alaska,297192,40.63
2021-06-12,Alaska,298544,40.81
2021-06-13,Alaska,299428,40.93
2021-06-14,Alaska,300450,41.07
2021-06-15,Alaska,301029,41.15
2021-06-16,Alaska,301947,41.28
2021-06-17,Alaska,302820,41.39
2021-06-18,Alaska,303696,41.51
2021-06-19,Alaska,304545,41.63
2021-06-20,Alaska,305195,41.72
2021-06-21,Alaska,305948,41.82
2021-06-22,Alaska,306072,41.84
2021-06-23,Alaska,306410,41.89
2021-06-24,Alaska,307246,42
2021-06-25,Alaska,307888,42.09
2021-06-26,Alaska,310204,42.4
2021-06-27,Alaska,311317,42.56
2021-06-28,Alaska,312331,42.69
2021-06-29,Alaska,312846,42.77
2021-06-30,Alaska,313709,42.88
2021-07-01,Alaska,314489,42.99
2021-07-02,Alaska,318366,43.52
2021-07-03,Alaska,319083,43.62
2021-07-04,Alaska,320501,43.81
2021-07-05,Alaska,,
2021-07-06,Alaska,322988,44.15
2021-07-07,Alaska,323060,44.16
2021-07-08,Alaska,323717,44.25
2021-07-09,Alaska,324403,44.34
2021-07-10,Alaska,325118,44.44
2021-07-11,Alaska,325689,44.52
2021-07-12,Alaska,325942,44.56
2021-07-13,Alaska,326089,44.58
2021-07-14,Alaska,326707,44.66
2021-07-15,Alaska,327289,44.74
2021-07-16,Alaska,327943,44.83
2021-07-17,Alaska,328404,44.89
2021-07-18,Alaska,329319,45.02
2021-07-19,Alaska,329452,45.04
2021-07-20,Alaska,329206,45
2021-07-21,Alaska,329591,45.05
2021-07-22,Alaska,329981,45.11
2021-07-23,Alaska,330406,45.17
2021-07-24,Alaska,330893,45.23
2021-07-25,Alaska,330926,45.24
2021-07-26,Alaska,331461,45.31
2021-07-27,Alaska,331567,45.32
2021-07-28,Alaska,331818,45.36
2021-07-29,Alaska,332136,45.4
2021-07-30,Alaska,332678,45.48
2021-07-31,Alaska,333092,45.53
2021-08-01,Alaska,333126,45.54
2021-08-02,Alaska,333175,45.54
2021-08-03,Alaska,333879,45.64
2021-08-04,Alaska,334266,45.69
2021-08-05,Alaska,334716,45.75
2021-08-06,Alaska,335163,45.82
2021-08-07,Alaska,335564,45.87
2021-08-08,Alaska,335664,45.88
2021-08-09,Alaska,335674,45.89
2021-08-10,Alaska,335812,45.9
2021-08-11,Alaska,336220,45.96
2021-08-12,Alaska,336622,46.02
2021-08-13,Alaska,337234,46.1
2021-08-14,Alaska,337746,46.17
2021-08-15,Alaska,337807,46.18
2021-08-16,Alaska,338549,46.28
2021-08-17,Alaska,338872,46.32
2021-08-18,Alaska,339304,46.38
2021-08-19,Alaska,339825,46.45
2021-08-20,Alaska,340377,46.53
2021-08-21,Alaska,340964,46.61
2021-08-22,Alaska,341064,46.62
2021-08-23,Alaska,341079,46.62
2021-08-24,Alaska,342075,46.76
2021-08-25,Alaska,342651,46.84
2021-08-26,Alaska,343274,46.92
2021-08-27,Alaska,343905,47.01
2021-08-28,Alaska,344325,47.07
2021-08-29,Alaska,344466,47.09
2021-01-12,American Samoa,260,0.47
2021-01-13,American Samoa,362,0.65
2021-01-14,American Samoa,,
2021-01-15,American Samoa,738,1.33
2021-01-16,American Samoa,,
2021-01-17,American Samoa,,
2021-01-18,American Samoa,,
2021-01-19,American Samoa,770,1.38
2021-01-20,American Samoa,836,1.5
2021-01-21,American Samoa,929,1.67
2021-01-22,American Samoa,940,1.69
2021-01-23,American Samoa,948,1.7
2021-01-24,American Samoa,948,1.7
2021-01-25,American Samoa,948,1.7
2021-01-26,American Samoa,948,1.7
2021-01-27,American Samoa,950,1.71
2021-01-28,American Samoa,950,1.71
2021-01-29,American Samoa,997,1.79
2021-01-30,American Samoa,997,1.79
2021-01-31,American Samoa,997,1.79
2021-02-01,American Samoa,1046,1.88
2021-02-02,American Samoa,1046,1.88
2021-02-03,American Samoa,1305,2.34
2021-02-04,American Samoa,1494,2.68
2021-02-05,American Samoa,2252,4.04
2021-02-06,American Samoa,2478,4.45
2021-02-07,American Samoa,2478,4.45
2021-02-08,American Samoa,2478,4.45
2021-02-09,American Samoa,2885,5.18
2021-02-10,American Samoa,3494,6.27
2021-02-11,American Samoa,3685,6.62
2021-02-12,American Samoa,4968,8.92
2021-02-13,American Samoa,5308,9.53
2021-02-14,American Samoa,5308,9.53
2021-02-15,American Samoa,,
2021-02-16,American Samoa,5860,10.52
2021-02-17,American Samoa,5989,10.75
2021-02-18,American Samoa,5989,10.75
2021-02-19,American Samoa,5989,10.75
2021-02-20,American Samoa,6893,12.38
2021-02-21,American Samoa,7811,14.03
2021-02-22,American Samoa,7859,14.11
2021-02-23,American Samoa,7859,14.11
2021-02-24,American Samoa,8020,14.4
2021-02-25,American Samoa,8020,14.4
2021-02-26,American Samoa,8079,14.51
2021-02-27,American Samoa,8079,14.51
2021-02-28,American Samoa,8079,14.51
2021-03-01,American Samoa,8080,14.51
2021-03-02,American Samoa,8142,14.62
2021-03-03,American Samoa,8142,14.62
2021-03-04,American Samoa,8252,14.82
2021-03-05,American Samoa,8252,14.82
2021-03-06,American Samoa,8252,14.82
2021-03-07,American Samoa,8252,14.82
2021-03-08,American Samoa,8254,14.82
2021-03-09,American Samoa,8254,14.82
2021-03-10,American Samoa,8706,15.63
2021-03-11,American Samoa,8706,15.63
2021-03-12,American Samoa,8706,15.63
2021-03-13,American Samoa,8713,15.65
2021-03-14,American Samoa,8713,15.65
2021-03-15,American Samoa,9023,16.2
2021-03-16,American Samoa,9024,16.2
2021-03-17,American Samoa,9025,16.21
2021-03-18,American Samoa,9025,16.21
2021-03-19,American Samoa,9026,16.21
2021-03-20,American Samoa,9027,16.21
2021-03-21,American Samoa,9028,16.21
2021-03-22,American Samoa,10196,18.31
2021-03-23,American Samoa,10240,18.39
2021-03-24,American Samoa,10552,18.95
2021-03-25,American Samoa,10566,18.97
2021-03-26,American Samoa,11043,19.83
2021-03-27,American Samoa,11046,19.84
2021-03-28,American Samoa,11047,19.84
2021-03-29,American Samoa,11049,19.84
2021-03-30,American Samoa,11460,20.58
2021-03-31,American Samoa,13406,24.07
2021-04-01,American Samoa,13406,24.07
2021-04-02,American Samoa,13754,24.7
2021-04-03,American Samoa,13755,24.7
2021-04-04,American Samoa,13755,24.7
2021-04-05,American Samoa,13755,24.7
2021-04-06,American Samoa,13755,24.7
2021-04-07,American Samoa,14337,25.74
2021-04-08,American Samoa,14338,25.75
2021-04-09,American Samoa,14737,26.46
2021-04-10,American Samoa,14737,26.46
2021-04-11,American Samoa,14846,26.66
2021-04-12,American Samoa,14846,26.66
2021-04-13,American Samoa,14846,26.66
2021-04-14,American Samoa,15239,27.36
2021-04-15,American Samoa,15239,27.36
2021-04-16,American Samoa,15807,28.38
2021-04-17,American Samoa,15807,28.38
2021-04-18,American Samoa,15809,28.39
2021-04-19,American Samoa,15809,28.39
2021-04-20,American Samoa,15811,28.39
2021-04-21,American Samoa,15849,28.46
2021-04-22,American Samoa,15849,28.46
2021-04-23,American Samoa,16454,29.55
2021-04-24,American Samoa,16455,29.55
2021-04-25,American Samoa,16553,29.72
2021-04-26,American Samoa,16557,29.73
2021-04-27,American Samoa,16650,29.9
2021-04-28,American Samoa,16650,29.9
2021-04-29,American Samoa,16914,30.37
2021-04-30,American Samoa,17141,30.78
2021-05-01,American Samoa,17142,30.78
2021-05-02,American Samoa,17142,30.78
2021-05-03,American Samoa,17142,30.78
2021-05-04,American Samoa,17353,31.16
2021-05-05,American Samoa,17399,31.24
2021-05-06,American Samoa,17399,31.24
2021-05-07,American Samoa,17694,31.77
2021-05-08,American Samoa,17694,31.77
2021-05-09,American Samoa,17695,31.77
2021-05-10,American Samoa,17695,31.77
2021-05-11,American Samoa,17697,31.78
2021-05-12,American Samoa,17698,31.78
2021-05-13,American Samoa,17911,32.16
2021-05-14,American Samoa,17911,32.16
2021-05-15,American Samoa,18182,32.65
2021-05-16,American Samoa,18182,32.65
2021-05-17,American Samoa,18182,32.65
2021-05-18,American Samoa,18182,32.65
2021-05-19,American Samoa,18655,33.5
2021-05-20,American Samoa,18657,33.5
2021-05-21,American Samoa,18900,33.94
2021-05-22,American Samoa,18900,33.94
2021-05-23,American Samoa,18900,33.94
2021-05-24,American Samoa,18902,33.94
2021-05-25,American Samoa,18902,33.94
2021-05-26,American Samoa,18902,33.94
2021-05-27,American Samoa,19250,34.57
2021-05-28,American Samoa,19251,34.57
2021-05-29,American Samoa,19251,34.57
2021-05-30,American Samoa,19251,34.57
2021-05-31,American Samoa,,
2021-06-01,American Samoa,19252,34.57
2021-06-02,American Samoa,19400,34.84
2021-06-03,American Samoa,19403,34.84
2021-06-04,American Samoa,19403,34.84
2021-06-05,American Samoa,19590,35.18
2021-06-06,American Samoa,19590,35.18
2021-06-07,American Samoa,19590,35.18
2021-06-08,American Samoa,19590,35.18
2021-06-09,American Samoa,19590,35.18
2021-06-10,American Samoa,19591,35.18
2021-06-11,American Samoa,19757,35.48
2021-06-12,American Samoa,19758,35.48
2021-06-13,American Samoa,19928,35.78
2021-06-14,American Samoa,19928,35.78
2021-06-15,American Samoa,20103,36.1
2021-06-16,American Samoa,20249,36.36
2021-06-17,American Samoa,20249,36.36
2021-06-18,American Samoa,20419,36.67
2021-06-19,American Samoa,20419,36.67
2021-06-20,American Samoa,20419,36.67
2021-06-21,American Samoa,20419,36.67
2021-06-22,American Samoa,20561,36.92
2021-06-23,American Samoa,20561,36.92
2021-06-24,American Samoa,20792,37.34
2021-06-25,American Samoa,20966,37.65
2021-06-26,American Samoa,20990,37.69
2021-06-27,American Samoa,20991,37.69
2021-06-28,American Samoa,20991,37.69
2021-06-29,American Samoa,20991,37.69
2021-06-30,American Samoa,20991,37.69
2021-07-01,American Samoa,21291,38.23
2021-07-02,American Samoa,21448,38.51
2021-07-03,American Samoa,21481,38.57
2021-07-04,American Samoa,21583,38.76
2021-07-05,American Samoa,,
2021-07-06,American Samoa,21583,38.76
2021-07-07,American Samoa,21681,38.93
2021-07-08,American Samoa,21714,38.99
2021-07-09,American Samoa,21973,39.46
2021-07-10,American Samoa,21997,39.5
2021-07-11,American Samoa,21997,39.5
2021-07-12,American Samoa,21998,39.5
2021-07-13,American Samoa,22234,39.93
2021-07-14,American Samoa,22388,40.2
2021-07-15,American Samoa,22423,40.26
2021-07-16,American Samoa,22580,40.55
2021-07-17,American Samoa,22580,40.55
2021-07-18,American Samoa,22580,40.55
2021-07-19,American Samoa,22580,40.55
2021-07-20,American Samoa,22643,40.66
2021-07-21,American Samoa,22843,41.02
2021-07-22,American Samoa,22868,41.06
2021-07-23,American Samoa,22870,41.07
2021-07-24,American Samoa,22993,41.29
2021-07-25,American Samoa,22993,41.29
2021-07-26,American Samoa,23405,42.03
2021-07-27,American Samoa,23405,42.03
2021-07-28,American Samoa,23558,42.3
2021-07-29,American Samoa,23559,42.3
2021-07-30,American Samoa,23560,42.31
2021-07-31,American Samoa,23700,42.56
2021-08-01,American Samoa,23700,42.56
2021-08-02,American Samoa,23859,42.84
2021-08-03,American Samoa,23859,42.84
2021-08-04,American Samoa,24042,43.17
2021-08-05,American Samoa,24043,43.17
2021-08-06,American Samoa,24217,43.49
2021-08-07,American Samoa,24217,43.49
2021-08-08,American Samoa,24217,43.49
2021-08-09,American Samoa,24217,43.49
2021-08-10,American Samoa,24310,43.65
2021-08-11,American Samoa,24310,43.65
2021-08-12,American Samoa,24310,43.65
2021-08-13,American Samoa,24646,44.26
2021-08-14,American Samoa,24663,44.29
2021-08-15,American Samoa,24663,44.29
2021-08-16,American Samoa,24663,44.29
2021-08-17,American Samoa,24931,44.77
2021-08-18,American Samoa,24932,44.77
2021-08-19,American Samoa,25091,45.06
2021-08-20,American Samoa,25091,45.06
2021-08-21,American Samoa,25242,45.33
2021-08-22,American Samoa,25242,45.33
2021-08-23,American Samoa,25242,45.33
2021-08-24,American Samoa,25376,45.57
2021-08-25,American Samoa,25537,45.86
2021-08-26,American Samoa,25562,45.9
2021-08-27,American Samoa,25562,45.9
2021-08-28,American Samoa,25574,45.92
2021-08-29,American Samoa,25574,45.92
2021-01-12,Arizona,8343,0.11
2021-01-13,Arizona,12392,0.17
2021-01-14,Arizona,,
2021-01-15,Arizona,20837,0.29
2021-01-16,Arizona,,
2021-01-17,Arizona,,
2021-01-18,Arizona,,
2021-01-19,Arizona,30892,0.42
2021-01-20,Arizona,34788,0.48
2021-01-21,Arizona,41613,0.57
2021-01-22,Arizona,48938,0.67
2021-01-23,Arizona,55014,0.76
2021-01-24,Arizona,58291,0.8
2021-01-25,Arizona,62711,0.86
2021-01-26,Arizona,64551,0.89
2021-01-27,Arizona,68846,0.95
2021-01-28,Arizona,73927,1.02
2021-01-29,Arizona,80773,1.11
2021-01-30,Arizona,86990,1.2
2021-01-31,Arizona,92666,1.27
2021-02-01,Arizona,95671,1.31
2021-02-02,Arizona,96660,1.33
2021-02-03,Arizona,102107,1.4
2021-02-04,Arizona,111645,1.53
2021-02-05,Arizona,121227,1.67
2021-02-06,Arizona,136236,1.87
2021-02-07,Arizona,151392,2.08
2021-02-08,Arizona,161324,2.22
2021-02-09,Arizona,166798,2.29
2021-02-10,Arizona,177565,2.44
2021-02-11,Arizona,192542,2.65
2021-02-12,Arizona,207912,2.86
2021-02-13,Arizona,226158,3.11
2021-02-14,Arizona,244971,3.37
